          0.000	  0.183	 -0.383	  0.016	  0.174	 -0.138	  0.306	 -0.006	 -0.057	  0.655	 -4.814	 -4.836	 -4.878	 -3.773	 -4.397	 -4.223	 -4.185	 -4.345	 -4.324	 -0.023	 -0.023	 -0.004	  0.011	  0.005	 -0.005	  0.003	  0.017	 -0.009	  0.061	  0.081	  0.061	  0.260	  0.073	  0.080	  0.062	  0.085	  0.078	 -0.041
          0.001	  0.088	 -0.461	  0.019	  0.210	 -0.135	  0.277	  0.002	 -0.001	  0.610	 -4.383	 -4.316	 -4.434	 -3.120	 -3.936	 -3.770	 -3.726	 -3.826	 -3.886	 -0.074	 -0.066	 -0.004	  0.032	  0.008	 -0.020	  0.006	  0.046	 -0.032	  0.286	  0.353	  0.293	  0.618	  0.314	  0.317	  0.301	  0.357	  0.307	 -0.041
          0.003	 -0.043	 -0.566	  0.023	  0.264	 -0.125	  0.245	  0.017	  0.081	  0.551	 -3.725	 -3.540	 -3.765	 -2.137	 -3.236	 -3.085	 -3.022	 -3.049	 -3.227	 -0.132	 -0.115	 -0.004	  0.056	  0.011	 -0.037	  0.011	  0.081	 -0.060	  0.572	  0.692	  0.583	  1.022	  0.617	  0.612	  0.605	  0.696	  0.592	 -0.042
          0.004	 -0.184	 -0.683	  0.027	  0.323	 -0.119	  0.211	  0.032	  0.172	  0.482	 -2.935	 -2.618	 -2.964	 -1.226	 -2.409	 -2.286	 -2.178	 -2.125	 -2.460	 -0.198	 -0.172	 -0.005	  0.083	  0.014	 -0.055	  0.016	  0.123	 -0.091	  0.931	  1.111	  0.944	  1.458	  0.992	  0.975	  0.987	  1.115	  0.941	 -0.042
          0.005	 -0.303	 -0.793	  0.023	  0.378	 -0.112	  0.179	  0.044	  0.252	  0.421	 -2.191	 -1.764	 -2.224	 -0.534	 -1.636	 -1.553	 -1.382	 -1.270	 -1.758	 -0.260	 -0.227	 -0.007	  0.110	  0.017	 -0.071	  0.023	  0.165	 -0.122	  1.309	  1.546	  1.320	  1.841	  1.383	  1.349	  1.390	  1.551	  1.300	 -0.042
          0.006	 -0.389	 -0.864	  0.019	  0.415	 -0.107	  0.159	  0.054	  0.307	  0.378	 -1.624	 -1.123	 -1.660	 -0.099	 -1.055	 -1.006	 -0.775	 -0.626	 -1.240	 -0.304	 -0.265	 -0.008	  0.130	  0.020	 -0.081	  0.028	  0.195	 -0.146	  1.611	  1.889	  1.620	  2.057	  1.695	  1.640	  1.715	  1.895	  1.577	 -0.043
          0.007	 -0.406	 -0.876	  0.019	  0.426	 -0.109	  0.156	  0.057	  0.323	  0.362	 -1.370	 -0.849	 -1.415	 -0.246	 -0.804	 -0.791	 -0.499	 -0.350	 -1.044	 -0.318	 -0.278	 -0.009	  0.140	  0.022	 -0.082	  0.031	  0.205	 -0.155	  1.753	  2.044	  1.759	  2.033	  1.839	  1.767	  1.870	  2.052	  1.692	 -0.043
          0.009	 -0.353	 -0.839	  0.016	  0.415	 -0.107	  0.174	  0.051	  0.289	  0.382	 -1.543	 -1.068	 -1.598	 -0.827	 -0.987	 -1.001	 -0.678	 -0.573	 -1.255	 -0.297	 -0.261	 -0.011	  0.136	  0.022	 -0.074	  0.031	  0.193	 -0.149	  1.699	  1.972	  1.701	  1.776	  1.779	  1.695	  1.817	  1.980	  1.617	 -0.044
          0.010	 -0.258	 -0.762	  0.010	  0.385	 -0.113	  0.202	  0.042	  0.230	  0.425	 -2.040	 -1.650	 -2.105	 -1.657	 -1.512	 -1.530	 -1.201	 -1.158	 -1.774	 -0.249	 -0.222	 -0.013	  0.121	  0.020	 -0.060	  0.026	  0.163	 -0.129	  1.472	  1.702	  1.470	  1.369	  1.540	  1.452	  1.577	  1.709	  1.378	 -0.045
          0.011	 -0.110	 -0.647	  0.001	  0.329	 -0.124	  0.239	  0.024	  0.137	  0.490	 -2.834	 -2.573	 -2.908	 -2.713	 -2.341	 -2.343	 -2.048	 -2.085	 -2.562	 -0.186	 -0.171	 -0.014	  0.098	  0.016	 -0.044	  0.019	  0.123	 -0.101	  1.136	  1.310	  1.129	  0.923	  1.188	  1.106	  1.218	  1.313	  1.042	 -0.046
